Plot Title: Riihiluoma 1,,,,
index,time,new_fridge,water_heater,old_fridge
381,02/10/2021 10:05:38 PM,1.343,18.266,0.733
382,02/10/2021 10:06:38 PM,1.343,18.315,0.733
383,02/10/2021 10:07:38 PM,1.343,18.315,0.733
384,02/10/2021 10:08:38 PM,1.343,18.266,0.733
385,02/10/2021 10:09:38 PM,1.319,18.266,0.733
386,02/10/2021 10:10:38 PM,1.319,18.364,0.757
387,02/10/2021 10:11:38 PM,1.343,18.364,0.733
388,02/10/2021 10:12:38 PM,1.538,18.315,0.733
389,02/10/2021 10:13:38 PM,1.563,18.315,0.733
390,02/10/2021 10:14:38 PM,1.563,18.339,0.733
391,02/10/2021 10:15:38 PM,1.563,18.291,0.733
392,02/10/2021 10:16:38 PM,1.538,18.266,0.733
393,02/10/2021 10:17:38 PM,1.538,18.291,0.733
394,02/10/2021 10:18:38 PM,1.538,18.315,0.757
395,02/10/2021 10:19:38 PM,1.563,18.339,0.733
396,02/10/2021 10:20:38 PM,1.563,0.073,0.684
397,02/10/2021 10:21:38 PM,1.538,0.073,0.659
398,02/10/2021 10:22:38 PM,1.538,0.049,0.659
399,02/10/2021 10:23:38 PM,1.563,0.073,0.659
400,02/10/2021 10:24:38 PM,1.538,0.073,0.659
401,02/10/2021 10:25:38 PM,1.538,0.073,0.684
402,02/10/2021 10:26:38 PM,1.538,0.073,0.659
403,02/10/2021 10:27:38 PM,1.514,0.073,0.659
404,02/10/2021 10:28:38 PM,1.514,0.073,0.659
405,02/10/2021 10:29:38 PM,1.514,0.073,0.659
406,02/10/2021 10:30:38 PM,1.514,0.073,0.659
407,02/10/2021 10:31:38 PM,1.514,0.073,0.659
408,02/10/2021 10:32:38 PM,1.514,0.073,0.659
409,02/10/2021 10:33:38 PM,1.514,0.049,0.659
410,02/10/2021 10:34:38 PM,1.514,0.073,0.659
411,02/10/2021 10:35:38 PM,1.514,0.073,0.659
412,02/10/2021 10:36:38 PM,1.514,0.073,0.659
413,02/10/2021 10:37:38 PM,1.465,0.049,0.659
414,02/10/2021 10:38:38 PM,1.416,0.049,0.659
415,02/10/2021 10:39:38 PM,1.392,0.073,0.659
416,02/10/2021 10:40:38 PM,1.368,0.073,0.659
417,02/10/2021 10:41:38 PM,1.368,0.073,0.659
418,02/10/2021 10:42:38 PM,1.368,0.049,0.659
419,02/10/2021 10:43:38 PM,1.123,0.073,0.659
420,02/10/2021 10:44:38 PM,1.123,0.073,0.659
421,02/10/2021 10:45:38 PM,1.099,0.073,0.659
422,02/10/2021 10:46:38 PM,1.099,0.073,0.659
